district,distname,campus,campname,type,alt_ed,charter,county,total,mobility,low_inc,lep,sped,rating,yrs_ir
'057831,GATEWAY CHARTER ACADEMY,'057831002,GATEWAY CHARTER ACADEMY - MIDDLE -,B,N,Y,DALLAS,296,17.4,100,0.3,10.5,Met Standard,
'057833,EDUCATION CENTER INTERNATIONAL ACA,'057833001,EDUCATION CENTER INTERNATIONAL ACA,E,N,Y,DALLAS,257,20.1,50.2,9.3,8.2,Met Standard,
'057833,EDUCATION CENTER INTERNATIONAL ACA,'057833002,EDUCATION CENTER INTERNATIONAL ACA,E,N,Y,DALLAS,169,28.8,52.1,5.3,8.3,Met Standard,
'057833,EDUCATION CENTER INTERNATIONAL ACA,'057833003,EDUCATION CENTER INTERNATIONAL ACA,E,N,Y,DALLAS,117,32,15.4,1.7,9.4,Met Standard,
'057834,EVOLUTION ACADEMY CHARTER SCHOOL,'057834001,EVOLUTION ACADEMY CHARTER SCHOOL,S,Y,Y,DALLAS,349,84.1,73.9,8.3,13.2,Not Rated: Harvey Provision,
'057834,EVOLUTION ACADEMY CHARTER SCHOOL,'057834003,EVOLUTION ACADEMY BEAUMONT,S,Y,Y,DALLAS,171,76.8,80.1,4.7,9.9,Not Rated: Harvey Provision,
'057834,EVOLUTION ACADEMY CHARTER SCHOOL,'057834004,EVOLUTION ACADEMY HOUSTON,S,Y,Y,DALLAS,289,77.5,59.2,4.8,9,Met Alternative Standard,
'057835,GOLDEN RULE CHARTER SCHOOL,'057835001,GOLDEN RULE CHARTER SCHOOL,E,N,Y,DALLAS,710,4.4,96.9,57,7,Met Standard,
'057835,GOLDEN RULE CHARTER SCHOOL,'057835101,GOLDEN RULE,E,N,Y,DALLAS,142,2.2,96.5,77.5,1.4,Met Standard,
'057835,GOLDEN RULE CHARTER SCHOOL,'057835102,GOLDEN RULE DESOTO,E,N,Y,DALLAS,215,8.5,98.6,40.9,4.7,Met Standard,
'057835,GOLDEN RULE CHARTER SCHOOL,'057835103,GOLDEN RULE SOUTHWEST,E,N,Y,DALLAS,276,12.2,97.5,73.9,4,Met Standard,
'057835,GOLDEN RULE CHARTER SCHOOL,'057835104,GOLDEN RULE GRAND PRAIRIE,E,N,Y,DALLAS,87,27.3,100,57.5,2.3,Not Rated,
'057835,GOLDEN RULE CHARTER SCHOOL,'057835105,GOLDEN RULE SCHOOLS INC - WILMER,E,N,Y,DALLAS,11,,100,36.4,0,Not Rated,
'057836,ST ANTHONY SCHOOL,'057836041,ST ANTHONY SCHOOL,M,N,Y,DALLAS,112,3.6,59.8,0,6.3,Met Standard,
'057836,ST ANTHONY SCHOOL,'057836101,ST ANTHONY ACADEMY,E,N,Y,DALLAS,222,4.5,72.5,0,6.3,Met Standard,
'057837,KIPP DALLAS-FORT WORTH,'057837041,KIPP TRUTH ACADEMY,M,N,Y,DALLAS,477,11,57.4,38.6,4.4,Met Standard,
'057837,KIPP DALLAS-FORT WORTH,'057837042,KIPP DESTINY MIDDLE,M,N,Y,DALLAS,335,13.3,90.7,15.5,12.2,Met Standard,
'057837,KIPP DALLAS-FORT WORTH,'057837043,KIPP PLEASANT GROVE MIDDLE,E,N,Y,DALLAS,116,,89.7,30.2,7.8,Met Standard,
